SQL> 
SQL> 
SQL> SELECT a.ksppinm AS parameter,
  2      a.ksppdesc AS description,
  3      b.ksppstvl AS session_value,
  4      c.ksppstvl AS instance_value
  5  FROM   x$ksppi a,
  6      x$ksppcv b,
  7      x$ksppsv c
  8  WHERE  a.indx = b.indx
  9  AND    a.indx = c.indx
 10  AND    a.ksppinm LIKE '/_%' ESCAPE '/'
 11  ORDER BY a.ksppinm;

PARAMETER                                                    DESCRIPTION                                                                                          SESSION_VALUE        INSTANCE_VALUE                                                                                                       
_redo_transport_min_kbytes_sec                               redo transport minimum KB/s                                                                          10                   10                                                                                                                   
_redo_transport_redo_log_management                          redo log management                                                                                                                                                                                                                            
_redo_transport_resource_management                          Redo transport resource management                                                                   FALSE                FALSE                                                                                                                
_redo_transport_sanity_check                                 redo transport sanity check bit mask                                                                 0                    0                                                                                                                    
_redo_transport_stall_time                                   use parameter DATA_GUARD_MAX_IO_TIME                                                                 360                  360                                                                                                                  
_redo_transport_stall_time_long                              use parameter DATA_GUARD_MAX_LONGIO_TIME                                                             3600                 3600                                                                                                                 
_redo_transport_stream_test                                  test stream connection?                                                                              TRUE                 TRUE                                                                                                                 
_redo_transport_stream_writes                                Stream network writes?                                                                               TRUE                 TRUE                                                                                                                 
_redo_transport_vio_size_req                                 VIO size requirement                                                                                 1048576              1048576                                                                                                              
_redo_write_coalesce_all_threshold                           Redo write coalescing threshold (all strands) in bytes                                               0                    0                                                                                                                    
_redo_write_coalesce_slave_threshold                         Redo write coalescing threshold (slave strands) in bytes                                             0                    0                                                                                                                    
_redo_write_sync_single_io                                   enable sync I/O for single redo write                                                                TRUE                 TRUE                                                                                                                 
_reduce_sby_log_scan                                         enable standby log scan optimization                                                                 TRUE                 TRUE                                                                                                                 
_ref_cons_sql_enforcement                                    disable extended/data ref constraint SQL enforcement                                                 TRUE                 TRUE                                                                                                                 
_reg_cache_status                                            Enables or disabled caching                                                                          FALSE                FALSE                                                                                                                
_region_name                                                 gsm region name                                                                                                                                                                                                                                
_release_insert_threshold                                    maximum number of unusable blocks to unlink from freelist                                            5                    5                                                                                                                    
_reliable_block_sends                                        if TRUE, no side channel on reliable interconnect                                                    TRUE                 TRUE                                                                                                                 
_relocate_pdb                                                Relocate PDB to another RAC instance after it is closed in the current instance                      FALSE                FALSE                                                                                                                
_relocation_commit_batch_size                                ASM relocation commit batch size                                                                     8                    8                                                                                                                    
_remessage_dbwrs                                             DBWR wait and remessage time - in cs                                                                 0                    0                                                                                                                    
_remote_asm                                                  remote ASM configuration                                                                                                                                                                                                                       
_remote_awr_enabled                                          Enable/disable Remote AWR Mode                                                                       FALSE                FALSE                                                                                                                
_remote_http_port                                            HTTP port number registered with remote listener                                                     0                    0                                                                                                                    
_remove_aggr_subquery                                        enables removal of subsumed aggregated subquery                                                      TRUE                 TRUE                                                                                                                 
_remove_exf_component                                        enable/disable removing of components EXF and RUL during upgrade                                     TRUE                 TRUE                                                                                                                 
_rep_base_path                                               base path for EM reports in database                                                                                                                                                                                                           
_replace_virtual_columns                                     replace expressions with virtual columns                                                             TRUE                 TRUE                                                                                                                 
_report_capture_cycle_time                                   Time (in sec) between two cycles of report capture daemon                                            60                   60                                                                                                                   
_report_capture_dbtime_percent_cutoff                        100X Percent of system db time daemon is allowed over 10 cycles                                      50                   50                                                                                                                   
_report_capture_recharge_window                              No of report capture cycles after which db time is recharged                                         10                   10                                                                                                                   
_report_capture_timeband_length                              Length of time band (in hours) in the reports time bands table                                       1                    1                                                                                                                    
_report_request_ageout_minutes                               Time (in min) after which a report request is deleted from queue                                     60                   60                                                                                                                   
_request_boundaries                                          request boundaries mode                                                                              3                    3                                                                                                                    
_reset_increase_lmd_process                                  set to true to allow reset of _increase_lmd_process changes                                          TRUE                 TRUE                                                                                                                 
_reset_increase_lms_process                                  set to true to allow reset of _increase_lms_process changes                                          TRUE                 TRUE                                                                                                                 
_resource_includes_unlimited_tablespace                      Whether RESOURCE role includes UNLIMITED TABLESPACE privilege                                        FALSE                FALSE                                                                                                                
_resource_manager_always_off                                 disable the resource manager always                                                                  FALSE                FALSE                                                                                                                
_resource_manager_plan                                       resource mgr top plan for internal use                                                                                                                                                                                                         
_restore_block0                                              restore block0                                                                                       on                   on                                                                                                                   
_restore_create_directory                                    automatically create directory during restore                                                        TRUE                 TRUE                                                                                                                 
_restore_maxopenfiles                                        restore assumption for maxopenfiles                                                                  8                    8                                                                                                                    
_restore_spfile                                              restore spfile to this location                                                                                                                                                                                                                
_restrict_become_user                                        become user functionality restricted                                                                 TRUE                 TRUE                                                                                                                 
_restrict_db_link_user_entries                               Maximum number of entries per db link user                                                           10000                10000                                                                                                                
_restrict_local_user_dml                                     Restrict Local user's ability to update sensitive tables                                             TRUE                 TRUE                                                                                                                 
_restrict_pdb_gv                                             restrict GV$ in a PDB                                                                                FALSE                FALSE                                                                                                                
_result_cache_auto_dml_monitoring_duration                   result cache auto dml monitoring duration                                                            15                   15                                                                                                                   
_result_cache_auto_dml_monitoring_slots                      result cache auto dml monitoring slot                                                                4                    4                                                                                                                    
_result_cache_auto_dml_threshold                             result cache auto dml threshold                                                                      16                   16                                                                                                                   
_result_cache_auto_dml_trend_threshold                       result cache auto dml trend threshold                                                                20                   20                                                                                                                   
_result_cache_auto_execution_threshold                       result cache auto execution threshold                                                                1                    1                                                                                                                    
_result_cache_auto_size_threshold                            result cache auto max size allowed                                                                   100                  100                                                                                                                  
_result_cache_auto_time_distance                             result cache auto time distance                                                                      300                  300                                                                                                                  
_result_cache_auto_time_threshold                            result cache auto time threshold                                                                     1000                 1000                                                                                                                 
_result_cache_black_list                                     cache_id's not allowed to use the result cache                                                                                                                                                                                                 
_result_cache_block_size                                     result cache block size                                                                              4096                 4096                                                                                                                 
_result_cache_copy_block_count                               blocks to copy instead of pinning the result                                                         1                    1                                                                                                                    
_result_cache_deterministic_plsql                            result cache deterministic PLSQL functions                                                           FALSE                FALSE                                                                                                                
_result_cache_do_recycle_period                              Timeout value for DOs added through invalidation                                                     300                  300                                                                                                                  
_result_cache_global                                         Are results available globally across RAC?                                                           TRUE                 TRUE                                                                                                                 
_result_cache_global_send                                    Is global send conditional in RAC?                                                                   TRUE                 TRUE                                                                                                                 
_result_cache_history_size                                   memory used to track PL/SQL function history                                                         0                    0                                                                                                                    
_result_cache_latch_count                                    number of result cache latches                                                                       1                    1                                                                                                                    
_result_cache_latch_free_reads                               latch free reads                                                                                     ADMIN                ADMIN                                                                                                                
_result_cache_load_rate                                      Simulated global load rate (bytes per 1/100 sec)                                                     1                    1                                                                                                                    
_result_cache_object_black_list                              object numbers not allowed to use the result cache                                                   0                    0                                                                                                                    
_result_cache_per_pdb                                        Is service result cache per pdb                                                                      TRUE                 TRUE                                                                                                                 
_result_cache_timeout                                        maximum time (sec) a session waits for a result                                                      1                    1                                                                                                                    
_result_cache_use_hash_table                                 whether to use hash table for object tracking                                                        TRUE                 TRUE                                                                                                                 
_result_cache_use_hash_table                                 whether to use hash table for object tracking                                                        TRUE                 TRUE                                                                                                                 
_result_cache_white_list                                     users allowed to use result cache                                                                                                                                                                                                              
_resumable_critical_alert                                    raise critical alert for resumable failure                                                           0                    0                                                                                                                    
_reuse_dropped_pdbid_time                                    Time in seconds to wait before reusing a dropped PDB ID                                              180                  180                                                                                                                  
_reuse_index_loop                                            number of blocks being examine for index block reuse                                                 5                    5                                                                                                                    
_rf_blocks_per_entity                                        number of blocks per entity                                                                          5                    5                                                                                                                    
_right_outer_hash_enable                                     Right Outer/Semi/Anti Hash Enabled                                                                   TRUE                 TRUE                                                                                                                 
_rm_atp_cpu_cnt_scale                                        Scaling factor for cpu count in ATP                                                                  1                    1                                                                                                                    
_rm_cluster_interconnects                                    interconnects for RAC use (RM)                                                                                                                                                                                                                 
_rm_exadata_partition_fc                                     Partition flash cache for Exadata                                                                    FALSE                FALSE                                                                                                                
_rm_exadata_pdb_cpu_cnt                                      Use PDB CPU cnt for Exadata smart scan                                                               FALSE                FALSE                                                                                                                
_rm_exadata_pdb_cpu_cnt_mult                                 Multiplication factor for PDB cpu count                                                              2                    2                                                                                                                    
_rm_force_caging                                                                                                                                                  FALSE                FALSE                                                                                                                
_rm_numa_sched_enable                                        Is Resource Manager (RM) related NUMA scheduled policy enabled                                       TRUE                 TRUE                                                                                                                 
_rm_numa_simulation_cpus                                     number of cpus for each pg for numa simulation in resource manager                                   0                    0                                                                                                                    
_rm_numa_simulation_pgs                                      number of PGs for numa simulation in resource manager                                                0                    0                                                                                                                    
_rm_superlong_threshold                                      DBRM superlong threshold setting                                                                     0                    0                                                                                                                    
_rman_io_priority                                            priority at which rman backup i/o's are done                                                         3                    3                                                                                                                    
_rman_roundrobin_placement                                   Numa round robin placement for RMAN procs                                                                                                                                                                                                      
_rmt_for_table_redef_enabled                                 Use Rowid Mapping Table for table redef                                                              TRUE                 TRUE                                                                                                                 
_rmv_dynamic_priority                                        enable rmv priority modification                                                                     TRUE                 TRUE                                                                                                                 
_roi_first_open_wait                                         duration of ROI first open wait for RWI open                                                         120                  120                                                                                                                  
_rollback_segment_count                                      number of undo segments                                                                              0                    0                                                                                                                    
_rollback_segment_count                                      number of undo segments                                                                              0                    0                                                                                                                    
_rollback_segment_initial                                    starting undo segment number                                                                         1                    1                                                                                                                    
_rollback_stopat                                             stop at -position to step rollback                                                                   0                    0                                                                                                                    
_rolling_patchlevel                                          Set Rolling Patch Level for RDBMS instance                                                                                                                                                                                                     
_rond_test_mode                                              rac one node test mode                                                                               0                    0                                                                                                                    
_root_clone_skip_trigger                                     Skip trigger in Application Root Clone                                                               TRUE                 TRUE                                                                                                                 
_root_clone_state_from_root                                  Application Root Clone's state comes from Application Root                                           TRUE                 TRUE                                                                                                                 
_row_cache_cursors                                           number of cached cursors for row cache management                                                    20                   20                                                                                                                   
_row_cache_dump_cooling_period                               Period to wait (in minutes) before resetting dump count                                              10                   10                                                                                                                   
_row_cache_dump_interval                                     Interval (in seconds) between each dump                                                              0                    0                                                                                                                    
_row_cr                                                      enable row cr for all sql                                                                            TRUE                 TRUE                                                                                                                 
_row_locking                                                 row-locking                                                                                          always               always                                                                                                               
_row_shipping_explain                                        enable row shipping explain plan support                                                             FALSE                FALSE                                                                                                                
_row_shipping_threshold                                      row shipping column selection threshold                                                              100                  100                                                                                                                  
_rowlen_for_chaining_threshold                               maximum rowlen above which rows may be chained across blocks                                         1000                 1000                                                                                                                 
_rowsets_cdb_view_enabled                                    rowsets enabled for CDB views                                                                        TRUE                 TRUE                                                                                                                 
_rowsets_enabled                                             enable/disable rowsets                                                                               TRUE                 TRUE                                                                                                                 
_rowsets_max_enc_rows                                        maximum number of encoded rows in a rowset                                                           64                   64                                                                                                                   
_rowsets_max_rows                                            maximum number of rows in a rowset                                                                   256                  256                                                                                                                  
_rowsets_target_maxsize                                      target size in bytes for space reserved in the frame for a rowset                                    524288               524288                                                                                                               
_rowsets_use_encoding                                        allow/disallow use of encoding with rowsets                                                          TRUE                 TRUE                                                                                                                 
_rowsource_execution_statistics                              if TRUE, Oracle will collect rowsource statistics                                                    FALSE                FALSE                                                                                                                
_rowsource_profiling_statistics                              if TRUE, Oracle will capture active row sources in v$active_session_history                          TRUE                 TRUE                                                                                                                 
_rowsource_statistics_sampfreq                               frequency of rowsource statistic sampling (must be a power of 2)                                     128                  128                                                                                                                  
_rowsrc_trace_level                                          Row source tree tracing level                                                                        0                    0                                                                                                                    
_rq_shm_max_size                                             maximum size of an RQuery shared memory segement (in KB)                                             1024                 1024                                                                                                                 
_rsrc_cpu_count                                              CPU Count for allocating resources.                                                                  0                    0                                                                                                                    
_rta_sync_wait_timeout                                       RTA sync wait timeout                                                                                10                   10                                                                                                                   
_rtabnd_update_offload                                       RFS process offload RTA boundary update                                                              TRUE                 TRUE                                                                                                                 
_rtaddm_trigger_args                                         comma-separated list of numeric arguments for RT addm trigger                                                                                                                                                                                  
_rtaddm_trigger_enabled                                      To enable or disable Real-Time ADDM automatic trigger                                                TRUE                 TRUE                                                                                                                 
_rtc_infeasible_threshold                                    Redo Transport Compression infeasible threshold                                                      25                   25                                                                                                                   
_rule_max_dnfp_cnt                                           Rules max dnf piece count                                                                            1024                 1024                                                                                                                 
_runtime_index_key_length_check                              allow runtime checking of index key length                                                           0                    0                                                                                                                    
_runtime_limit_parallel_fptr                                 run-time limit for for parallel first-pass recovery                                                  60                   60                                                                                                                   
_sage_block_checking                                         enable block checking of blocks returned by smartscan                                                FALSE                FALSE                                                                                                                
_sample_rows_per_block                                       number of rows per block used for sampling IO optimization                                           4                    4                                                                                                                    
_save_afns_on_subset_pdb_creation                            Use one reserved AFN for skipped tablespaces on pdb subset            creation with lower compat     FALSE                FALSE                                                                                                                
_scalar_type_lob_storage_threshold                           threshold for VARCHAR2, NVARCHAR2, and RAW storage as BLOB                                           4000                 4000                                                                                                                 
_scatter_gcs_resources                                       if TRUE, gcs resources are scattered uniformly across sub pools                                      FALSE                FALSE                                                                                                                
_scatter_gcs_shadows                                         if TRUE, gcs shadows are scattered uniformly across sub pools                                        FALSE                FALSE                                                                                                                
_sched_delay_max_samples                                     scheduling delay maximum number of samples                                                           4                    4                                                                                                                    
_sched_delay_measurement_sleep_us                            scheduling delay mesurement sleep us                                                                 1000                 1000                                                                                                                 
_sched_delay_os_tick_granularity_us                          os tick granularity used by scheduling delay calculations                                            16000                16000                                                                                                                
_sched_delay_sample_collection_thresh_ms                     scheduling delay sample collection duration threshold ms                                             200                  200                                                                                                                  
_sched_delay_sample_interval_ms                              scheduling delay sampling interval in ms                                                             1000                 1000                                                                                                                 
_scn_wait_interface_max_backoff_time_secs                    max exponential backoff time for scn wait interface in kta                                           600                  600                                                                                                                  
_scn_wait_interface_max_timeout_secs                         max timeout for scn wait interface in kta                                                            2147483647           2147483647                                                                                                           
_sdiag_crash                                                 sql diag crash                                                                                       NONE                 NONE                                                                                                                 
_sec_enable_test_rpcs                                        Whether to enable the test RPCs                                                                      FALSE                FALSE                                                                                                                
_second_spare_pdb_parameter                                  second spare pdb parameter - integer                                                                                                                                                                                                           
_securefile_log_num_latches                                  Maximum number of open descriptors for securefile log                                                0                    0                                                                                                                    
_securefile_log_shared_pool_size                             Size of securefile log buffer pool from SGA                                                          0                    0                                                                                                                    
_securefile_shrink_enable_nowaitlck                          Enable Securefile Shrink NOWAIT row locking                                                          FALSE                FALSE                                                                                                                
_securefile_shrink_hash_table_limit                          Size limit on Securefile Lob Shrink state Hash table                                                 100                  100                                                                                                                  
_securefile_timers                                           collect kdlu timers and accumulate per layers                                                        FALSE                FALSE                                                                                                                
_securefiles_bgtimeout                                       securefiles segment background invocation timeout                                                    0                    0                                                                                                                    
